Number of prospects entering the Quiz Funnel,Cost per Prospect Entering the Quiz Funnel,Lead Conversion Rate,Sales per Lead,Break-even Product Price,Number of generated leads,Number of Sales,Initial Ad Investment,Revenue
18500,0.4,0.3,0.2,6.666666666666667,5550,1110,7400,7400
19000,0.4,0.3,0.2,6.666666666666667,5700,1140,7600,7600
19500,0.4,0.3,0.2,6.666666666666667,5850,1170,7800,7800
20000,0.4,0.3,0.2,6.666666666666667,6000,1200,8000,8000
1000,0.4,0.29000000000000004,0.2,6.896551724137931,290.00000000000006,58.000000000000014,400,400.00000000000006
1500,0.4,0.29000000000000004,0.2,6.896551724137931,435.00000000000006,87.00000000000001,600,600.0000000000001
2000,0.4,0.29000000000000004,0.2,6.896551724137931,580.0000000000001,116.00000000000003,800,800.0000000000001
2500,0.4,0.29000000000000004,0.2,6.896551724137931,725.0000000000001,145.00000000000003,1000,1000.0000000000001
3000,0.4,0.29000000000000004,0.2,6.896551724137931,870.0000000000001,174.00000000000003,1200,1200.0000000000002
3500,0.4,0.29000000000000004,0.2,6.896551724137931,1015.0000000000001,203.00000000000003,1400,1400
4000,0.4,0.29000000000000004,0.2,6.896551724137931,1160.0000000000002,232.00000000000006,1600,1600.0000000000002
4500,0.4,0.29000000000000004,0.2,6.896551724137931,1305.0000000000002,261.00000000000006,1800,1800.0000000000002
5000,0.4,0.29000000000000004,0.2,6.896551724137931,1450.0000000000002,290.00000000000006,2000,2000.0000000000002
5500,0.4,0.29000000000000004,0.2,6.896551724137931,1595.0000000000002,319.00000000000006,2200,2200.0000000000005
6000,0.4,0.29000000000000004,0.2,6.896551724137931,1740.0000000000002,348.00000000000006,2400,2400.0000000000005
6500,0.4,0.29000000000000004,0.2,6.896551724137931,1885.0000000000002,377.00000000000006,2600,2600.0000000000005
7000,0.4,0.29000000000000004,0.2,6.896551724137931,2030.0000000000002,406.00000000000006,2800,2800
7500,0.4,0.29000000000000004,0.2,6.896551724137931,2175.0000000000005,435.0000000000001,3000,3000.0000000000005
8000,0.4,0.29000000000000004,0.2,6.896551724137931,2320.0000000000005,464.0000000000001,3200,3200.0000000000005
8500,0.4,0.29000000000000004,0.2,6.896551724137931,2465.0000000000005,493.0000000000001,3400,3400.0000000000005
9000,0.4,0.29000000000000004,0.2,6.896551724137931,2610.0000000000005,522.0000000000001,3600,3600.0000000000005
9500,0.4,0.29000000000000004,0.2,6.896551724137931,2755.0000000000005,551.0000000000001,3800,3800.0000000000005
10000,0.4,0.29000000000000004,0.2,6.896551724137931,2900.0000000000005,580.0000000000001,4000,4000.0000000000005
10500,0.4,0.29000000000000004,0.2,6.896551724137931,3045.0000000000005,609.0000000000001,4200,4200.000000000001
11000,0.4,0.29000000000000004,0.2,6.896551724137931,3190.0000000000005,638.0000000000001,4400,4400.000000000001
11500,0.4,0.29000000000000004,0.2,6.896551724137931,3335.0000000000005,667.0000000000001,4600,4600.000000000001
12000,0.4,0.29000000000000004,0.2,6.896551724137931,3480.0000000000005,696.0000000000001,4800,4800.000000000001
12500,0.4,0.29000000000000004,0.2,6.896551724137931,3625.0000000000005,725.0000000000001,5000,5000.000000000001
13000,0.4,0.29000000000000004,0.2,6.896551724137931,3770.0000000000005,754.0000000000001,5200,5200.000000000001
13500,0.4,0.29000000000000004,0.2,6.896551724137931,3915.0000000000005,783.0000000000001,5400,5400
14000,0.4,0.29000000000000004,0.2,6.896551724137931,4060.0000000000005,812.0000000000001,5600,5600
14500,0.4,0.29000000000000004,0.2,6.896551724137931,4205.000000000001,841.0000000000002,5800,5800.000000000001
15000,0.4,0.29000000000000004,0.2,6.896551724137931,4350.000000000001,870.0000000000002,6000,6000.000000000001
15500,0.4,0.29000000000000004,0.2,6.896551724137931,4495.000000000001,899.0000000000002,6200,6200.000000000001
16000,0.4,0.29000000000000004,0.2,6.896551724137931,4640.000000000001,928.0000000000002,6400,6400.000000000001
16500,0.4,0.29000000000000004,0.2,6.896551724137931,4785.000000000001,957.0000000000002,6600,6600.000000000001
17000,0.4,0.29000000000000004,0.2,6.896551724137931,4930.000000000001,986.0000000000002,6800,6800.000000000001
17500,0.4,0.29000000000000004,0.2,6.896551724137931,5075.000000000001,1015.0000000000002,7000,7000.000000000001
18000,0.4,0.29000000000000004,0.2,6.896551724137931,5220.000000000001,1044.0000000000002,7200,7200.000000000001
18500,0.4,0.29000000000000004,0.2,6.896551724137931,5365.000000000001,1073.0000000000002,7400,7400.000000000001
19000,0.4,0.29000000000000004,0.2,6.896551724137931,5510.000000000001,1102.0000000000002,7600,7600.000000000001
19500,0.4,0.29000000000000004,0.2,6.896551724137931,5655.000000000001,1131.0000000000002,7800,7800.000000000001
20000,0.4,0.29000000000000004,0.2,6.896551724137931,5800.000000000001,1160.0000000000002,8000,8000.000000000001
1000,0.4,0.3,0.19,7.017543859649124,300,57,400,400.00000000000006
1500,0.4,0.3,0.19,7.017543859649124,450,85.5,600,600.0000000000001
2000,0.4,0.3,0.19,7.017543859649124,600,114,800,800.0000000000001
2500,0.4,0.3,0.19,7.017543859649124,750,142.5,1000,1000.0000000000002
3000,0.4,0.3,0.19,7.017543859649124,900,171,1200,1200.0000000000002
3500,0.4,0.3,0.19,7.017543859649124,1050,199.5,1400,1400.0000000000002
4000,0.4,0.3,0.19,7.017543859649124,1200,228,1600,1600.0000000000002
4500,0.4,0.3,0.19,7.017543859649124,1350,256.5,1800,1800.0000000000005
5000,0.4,0.3,0.19,7.017543859649124,1500,285,2000,2000.0000000000005
5500,0.4,0.3,0.19,7.017543859649124,1650,313.5,2200,2200.0000000000005
6000,0.4,0.3,0.19,7.017543859649124,1800,342,2400,2400.0000000000005
6500,0.4,0.3,0.19,7.017543859649124,1950,370.5,2600,2600.0000000000005
7000,0.4,0.3,0.19,7.017543859649124,2100,399,2800,2800.0000000000005
7500,0.4,0.3,0.19,7.017543859649124,2250,427.5,3000,3000.0000000000005
8000,0.4,0.3,0.19,7.017543859649124,2400,456,3200,3200.0000000000005
8500,0.4,0.3,0.19,7.017543859649124,2550,484.5,3400,3400.0000000000005
9000,0.4,0.3,0.19,7.017543859649124,2700,513,3600,3600.000000000001
9500,0.4,0.3,0.19,7.017543859649124,2850,541.5,3800,3800.000000000001
10000,0.4,0.3,0.19,7.017543859649124,3000,570,4000,4000.000000000001
10500,0.4,0.3,0.19,7.017543859649124,3150,598.5,4200,4200.000000000001
11000,0.4,0.3,0.19,7.017543859649124,3300,627,4400,4400.000000000001
11500,0.4,0.3,0.19,7.017543859649124,3450,655.5,4600,4600.000000000001
12000,0.4,0.3,0.19,7.017543859649124,3600,684,4800,4800.000000000001
12500,0.4,0.3,0.19,7.017543859649124,3750,712.5,5000,5000.000000000001
13000,0.4,0.3,0.19,7.017543859649124,3900,741,5200,5200.000000000001
13500,0.4,0.3,0.19,7.017543859649124,4050,769.5,5400,5400.000000000001
14000,0.4,0.3,0.19,7.017543859649124,4200,798,5600,5600.000000000001
14500,0.4,0.3,0.19,7.017543859649124,4350,826.5,5800,5800.000000000001
15000,0.4,0.3,0.19,7.017543859649124,4500,855,6000,6000.000000000001
15500,0.4,0.3,0.19,7.017543859649124,4650,883.5,6200,6200.000000000001
16000,0.4,0.3,0.19,7.017543859649124,4800,912,6400,6400.000000000001
16500,0.4,0.3,0.19,7.017543859649124,4950,940.5,6600,6600.000000000001
17000,0.4,0.3,0.19,7.017543859649124,5100,969,6800,6800.000000000001
17500,0.4,0.3,0.19,7.017543859649124,5250,997.5,7000,7000.000000000002
18000,0.4,0.3,0.19,7.017543859649124,5400,1026,7200,7200.000000000002
18500,0.4,0.3,0.19,7.017543859649124,5550,1054.5,7400,7400.000000000002
19000,0.4,0.3,0.19,7.017543859649124,5700,1083,7600,7600.000000000002
19500,0.4,0.3,0.19,7.017543859649124,5850,1111.5,7800,7800.000000000002
20000,0.4,0.3,0.19,7.017543859649124,6000,1140,8000,8000.000000000002
1000,0.4,0.28,0.2,7.142857142857142,280,56,400,400
1500,0.4,0.28,0.2,7.142857142857142,420.00000000000006,84.00000000000001,600,600.0000000000001
2000,0.4,0.28,0.2,7.142857142857142,560,112,800,800
2500,0.4,0.28,0.2,7.142857142857142,700.0000000000001,140.00000000000003,1000,1000.0000000000001
3000,0.4,0.28,0.2,7.142857142857142,840.0000000000001,168.00000000000003,1200,1200.0000000000002
3500,0.4,0.28,0.2,7.142857142857142,980.0000000000001,196.00000000000003,1400,1400
4000,0.4,0.28,0.2,7.142857142857142,1120,224,1600,1600
4500,0.4,0.28,0.2,7.142857142857142,1260.0000000000002,252.00000000000006,1800,1800.0000000000002
5000,0.4,0.28,0.2,7.142857142857142,1400.0000000000002,280.00000000000006,2000,2000.0000000000002
5500,0.4,0.28,0.2,7.142857142857142,1540.0000000000002,308.00000000000006,2200,2200.0000000000005
6000,0.4,0.28,0.2,7.142857142857142,1680.0000000000002,336.00000000000006,2400,2400.0000000000005
6500,0.4,0.28,0.2,7.142857142857142,1820.0000000000002,364.00000000000006,2600,2600
7000,0.4,0.28,0.2,7.142857142857142,1960.0000000000002,392.00000000000006,2800,2800
7500,0.4,0.28,0.2,7.142857142857142,2100,420,3000,3000
8000,0.4,0.28,0.2,7.142857142857142,2240,448,3200,3200
8500,0.4,0.28,0.2,7.142857142857142,2380,476,3400,3399.9999999999995
9000,0.4,0.28,0.2,7.142857142857142,2520.0000000000005,504.0000000000001,3600,3600.0000000000005
9500,0.4,0.28,0.2,7.142857142857142,2660.0000000000005,532.0000000000001,3800,3800.0000000000005
10000,0.4,0.28,0.2,7.142857142857142,2800.0000000000005,560.0000000000001,4000,4000.0000000000005
10500,0.4,0.28,0.2,7.142857142857142,2940.0000000000005,588.0000000000001,4200,4200.000000000001
11000,0.4,0.28,0.2,7.142857142857142,3080.0000000000005,616.0000000000001,4400,4400.000000000001
11500,0.4,0.28,0.2,7.142857142857142,3220.0000000000005,644.0000000000001,4600,4600.000000000001
12000,0.4,0.28,0.2,7.142857142857142,3360.0000000000005,672.0000000000001,4800,4800.000000000001
12500,0.4,0.28,0.2,7.142857142857142,3500.0000000000005,700.0000000000001,5000,5000.000000000001
13000,0.4,0.28,0.2,7.142857142857142,3640.0000000000005,728.0000000000001,5200,5200
13500,0.4,0.28,0.2,7.142857142857142,3780.0000000000005,756.0000000000001,5400,5400
14000,0.4,0.28,0.2,7.142857142857142,3920.0000000000005,784.0000000000001,5600,5600
14500,0.4,0.28,0.2,7.142857142857142,4060.0000000000005,812.0000000000001,5800,5800
15000,0.4,0.28,0.2,7.142857142857142,4200,840,6000,6000
15500,0.4,0.28,0.2,7.142857142857142,4340,868,6200,6200
16000,0.4,0.28,0.2,7.142857142857142,4480,896,6400,6400
16500,0.4,0.28,0.2,7.142857142857142,4620,924,6600,6599.999999999999
17000,0.4,0.28,0.2,7.142857142857142,4760,952,6800,6799.999999999999
17500,0.4,0.28,0.2,7.142857142857142,4900.000000000001,980.0000000000002,7000,7000.000000000001
18000,0.4,0.28,0.2,7.142857142857142,5040.000000000001,1008.0000000000002,7200,7200.000000000001
18500,0.4,0.28,0.2,7.142857142857142,5180.000000000001,1036.0000000000002,7400,7400.000000000001
19000,0.4,0.28,0.2,7.142857142857142,5320.000000000001,1064.0000000000002,7600,7600.000000000001
19500,0.4,0.28,0.2,7.142857142857142,5460.000000000001,1092.0000000000002,7800,7800.000000000001
20000,0.4,0.28,0.2,7.142857142857142,5600.000000000001,1120.0000000000002,8000,8000.000000000001
1000,0.4,0.29000000000000004,0.19,7.259528130671505,290.00000000000006,55.10000000000001,400,400
1500,0.4,0.29000000000000004,0.19,7.259528130671505,435.00000000000006,82.65,600,599.9999999999999
2000,0.4,0.29000000000000004,0.19,7.259528130671505,580.0000000000001,110.20000000000002,800,800
2500,0.4,0.29000000000000004,0.19,7.259528130671505,725.0000000000001,137.75000000000003,1000,1000
3000,0.4,0.29000000000000004,0.19,7.259528130671505,870.0000000000001,165.3,1200,1199.9999999999998
3500,0.4,0.29000000000000004,0.19,7.259528130671505,1015.0000000000001,192.85000000000002,1400,1400
4000,0.4,0.29000000000000004,0.19,7.259528130671505,1160.0000000000002,220.40000000000003,1600,1600
4500,0.4,0.29000000000000004,0.19,7.259528130671505,1305.0000000000002,247.95000000000005,1800,1800
5000,0.4,0.29000000000000004,0.19,7.259528130671505,1450.0000000000002,275.50000000000006,2000,2000
5500,0.4,0.29000000000000004,0.19,7.259528130671505,1595.0000000000002,303.05000000000007,2200,2200
6000,0.4,0.29000000000000004,0.19,7.259528130671505,1740.0000000000002,330.6,2400,2399.9999999999995
6500,0.4,0.29000000000000004,0.19,7.259528130671505,1885.0000000000002,358.15000000000003,2600,2600
7000,0.4,0.29000000000000004,0.19,7.259528130671505,2030.0000000000002,385.70000000000005,2800,2800
7500,0.4,0.29000000000000004,0.19,7.259528130671505,2175.0000000000005,413.2500000000001,3000,3000.0000000000005
8000,0.4,0.29000000000000004,0.19,7.259528130671505,2320.0000000000005,440.80000000000007,3200,3200
8500,0.4,0.29000000000000004,0.19,7.259528130671505,2465.0000000000005,468.3500000000001,3400,3400
9000,0.4,0.29000000000000004,0.19,7.259528130671505,2610.0000000000005,495.9000000000001,3600,3600
9500,0.4,0.29000000000000004,0.19,7.259528130671505,2755.0000000000005,523.45,3800,3799.9999999999995
10000,0.4,0.29000000000000004,0.19,7.259528130671505,2900.0000000000005,551.0000000000001,4000,4000
10500,0.4,0.29000000000000004,0.19,7.259528130671505,3045.0000000000005,578.5500000000001,4200,4200
11000,0.4,0.29000000000000004,0.19,7.259528130671505,3190.0000000000005,606.1000000000001,4400,4400
11500,0.4,0.29000000000000004,0.19,7.259528130671505,3335.0000000000005,633.6500000000001,4600,4600
12000,0.4,0.29000000000000004,0.19,7.259528130671505,3480.0000000000005,661.2,4800,4799.999999999999
12500,0.4,0.29000000000000004,0.19,7.259528130671505,3625.0000000000005,688.7500000000001,5000,5000
13000,0.4,0.29000000000000004,0.19,7.259528130671505,3770.0000000000005,716.3000000000001,5200,5200
13500,0.4,0.29000000000000004,0.19,7.259528130671505,3915.0000000000005,743.8500000000001,5400,5400
14000,0.4,0.29000000000000004,0.19,7.259528130671505,4060.0000000000005,771.4000000000001,5600,5600
14500,0.4,0.29000000000000004,0.19,7.259528130671505,4205.000000000001,798.9500000000002,5800,5800
15000,0.4,0.29000000000000004,0.19,7.259528130671505,4350.000000000001,826.5000000000002,6000,6000.000000000001
15500,0.4,0.29000000000000004,0.19,7.259528130671505,4495.000000000001,854.0500000000002,6200,6200
16000,0.4,0.29000000000000004,0.19,7.259528130671505,4640.000000000001,881.6000000000001,6400,6400
16500,0.4,0.29000000000000004,0.19,7.259528130671505,4785.000000000001,909.1500000000002,6600,6600
17000,0.4,0.29000000000000004,0.19,7.259528130671505,4930.000000000001,936.7000000000002,6800,6800
17500,0.4,0.29000000000000004,0.19,7.259528130671505,5075.000000000001,964.2500000000002,7000,7000.000000000001
18000,0.4,0.29000000000000004,0.19,7.259528130671505,5220.000000000001,991.8000000000002,7200,7200
18500,0.4,0.29000000000000004,0.19,7.259528130671505,5365.000000000001,1019.3500000000001,7400,7400
19000,0.4,0.29000000000000004,0.19,7.259528130671505,5510.000000000001,1046.9,7600,7599.999999999999
19500,0.4,0.29000000000000004,0.19,7.259528130671505,5655.000000000001,1074.4500000000003,7800,7800.000000000001
20000,0.4,0.29000000000000004,0.19,7.259528130671505,5800.000000000001,1102.0000000000002,8000,8000
1000,0.4,0.27,0.2,7.4074074074074066,270,54,400,399.99999999999994
1000,0.4,0.3,0.18000000000000002,7.4074074074074066,300,54.00000000000001,400,400
1500,0.4,0.27,0.2,7.4074074074074066,405,81,600,599.9999999999999
1500,0.4,0.3,0.18000000000000002,7.4074074074074066,450,81.00000000000001,600,600
2000,0.4,0.27,0.2,7.4074074074074066,540,108,800,799.9999999999999
2000,0.4,0.3,0.18000000000000002,7.4074074074074066,600,108.00000000000001,800,800
2500,0.4,0.27,0.2,7.4074074074074066,675,135,1000,999.9999999999999
2500,0.4,0.3,0.18000000000000002,7.4074074074074066,750,135.00000000000003,1000,1000.0000000000001
3000,0.4,0.27,0.2,7.4074074074074066,810,162,1200,1199.9999999999998
3000,0.4,0.3,0.18000000000000002,7.4074074074074066,900,162.00000000000003,1200,1200
3500,0.4,0.27,0.2,7.4074074074074066,945.0000000000001,189.00000000000003,1400,1400
3500,0.4,0.3,0.18000000000000002,7.4074074074074066,1050,189.00000000000003,1400,1400
4000,0.4,0.27,0.2,7.4074074074074066,1080,216,1600,1599.9999999999998
4000,0.4,0.3,0.18000000000000002,7.4074074074074066,1200,216.00000000000003,1600,1600
4500,0.4,0.27,0.2,7.4074074074074066,1215,243,1800,1799.9999999999998
4500,0.4,0.3,0.18000000000000002,7.4074074074074066,1350,243.00000000000003,1800,1800
5000,0.4,0.27,0.2,7.4074074074074066,1350,270,2000,1999.9999999999998
5000,0.4,0.3,0.18000000000000002,7.4074074074074066,1500,270.00000000000006,2000,2000.0000000000002
5500,0.4,0.27,0.2,7.4074074074074066,1485,297,2200,2199.9999999999995
5500,0.4,0.3,0.18000000000000002,7.4074074074074066,1650,297.00000000000006,2200,2200
6000,0.4,0.27,0.2,7.4074074074074066,1620,324,2400,2399.9999999999995
6000,0.4,0.3,0.18000000000000002,7.4074074074074066,1800,324.00000000000006,2400,2400
6500,0.4,0.27,0.2,7.4074074074074066,1755.0000000000002,351.00000000000006,2600,2600
6500,0.4,0.3,0.18000000000000002,7.4074074074074066,1950,351.00000000000006,2600,2600
7000,0.4,0.27,0.2,7.4074074074074066,1890.0000000000002,378.00000000000006,2800,2800
7000,0.4,0.3,0.18000000000000002,7.4074074074074066,2100,378.00000000000006,2800,2800
7500,0.4,0.27,0.2,7.4074074074074066,2025.0000000000002,405.00000000000006,3000,3000
7500,0.4,0.3,0.18000000000000002,7.4074074074074066,2250,405.00000000000006,3000,3000
8000,0.4,0.27,0.2,7.4074074074074066,2160,432,3200,3199.9999999999995
8000,0.4,0.3,0.18000000000000002,7.4074074074074066,2400,432.00000000000006,3200,3200
8500,0.4,0.27,0.2,7.4074074074074066,2295,459,3400,3399.9999999999995
8500,0.4,0.3,0.18000000000000002,7.4074074074074066,2550,459.00000000000006,3400,3400
9000,0.4,0.27,0.2,7.4074074074074066,2430,486,3600,3599.9999999999995
9000,0.4,0.3,0.18000000000000002,7.4074074074074066,2700,486.00000000000006,3600,3600
9500,0.4,0.27,0.2,7.4074074074074066,2565,513,3800,3799.9999999999995
9500,0.4,0.3,0.18000000000000002,7.4074074074074066,2850,513.0000000000001,3800,3800.0000000000005
10000,0.4,0.27,0.2,7.4074074074074066,2700,540,4000,3999.9999999999995
10000,0.4,0.3,0.18000000000000002,7.4074074074074066,3000,540.0000000000001,4000,4000.0000000000005
10500,0.4,0.27,0.2,7.4074074074074066,2835,567,4200,4199.999999999999
10500,0.4,0.3,0.18000000000000002,7.4074074074074066,3150,567.0000000000001,4200,4200
11000,0.4,0.27,0.2,7.4074074074074066,2970,594,4400,4399.999999999999
11000,0.4,0.3,0.18000000000000002,7.4074074074074066,3300,594.0000000000001,4400,4400
11500,0.4,0.27,0.2,7.4074074074074066,3105,621,4600,4599.999999999999
11500,0.4,0.3,0.18000000000000002,7.4074074074074066,3450,621.0000000000001,4600,4600
12000,0.4,0.27,0.2,7.4074074074074066,3240,648,4800,4799.999999999999
12000,0.4,0.3,0.18000000000000002,7.4074074074074066,3600,648.0000000000001,4800,4800
12500,0.4,0.27,0.2,7.4074074074074066,3375,675,5000,4999.999999999999
12500,0.4,0.3,0.18000000000000002,7.4074074074074066,3750,675.0000000000001,5000,5000
13000,0.4,0.27,0.2,7.4074074074074066,3510.0000000000005,702.0000000000001,5200,5200
13000,0.4,0.3,0.18000000000000002,7.4074074074074066,3900,702.0000000000001,5200,5200
13500,0.4,0.27,0.2,7.4074074074074066,3645.0000000000005,729.0000000000001,5400,5400
13500,0.4,0.3,0.18000000000000002,7.4074074074074066,4050,729.0000000000001,5400,5400
14000,0.4,0.27,0.2,7.4074074074074066,3780.0000000000005,756.0000000000001,5600,5600
14000,0.4,0.3,0.18000000000000002,7.4074074074074066,4200,756.0000000000001,5600,5600
14500,0.4,0.27,0.2,7.4074074074074066,3915.0000000000005,783.0000000000001,5800,5800
14500,0.4,0.3,0.18000000000000002,7.4074074074074066,4350,783.0000000000001,5800,5800
15000,0.4,0.27,0.2,7.4074074074074066,4050.0000000000005,810.0000000000001,6000,6000
15000,0.4,0.3,0.18000000000000002,7.4074074074074066,4500,810.0000000000001,6000,6000
15500,0.4,0.27,0.2,7.4074074074074066,4185,837,6200,6199.999999999999
15500,0.4,0.3,0.18000000000000002,7.4074074074074066,4650,837.0000000000001,6200,6200
16000,0.4,0.27,0.2,7.4074074074074066,4320,864,6400,6399.999999999999
16000,0.4,0.3,0.18000000000000002,7.4074074074074066,4800,864.0000000000001,6400,6400
16500,0.4,0.27,0.2,7.4074074074074066,4455,891,6600,6599.999999999999
16500,0.4,0.3,0.18000000000000002,7.4074074074074066,4950,891.0000000000001,6600,6600
17000,0.4,0.27,0.2,7.4074074074074066,4590,918,6800,6799.999999999999
17000,0.4,0.3,0.18000000000000002,7.4074074074074066,5100,918.0000000000001,6800,6800
17500,0.4,0.27,0.2,7.4074074074074066,4725,945,7000,6999.999999999999
17500,0.4,0.3,0.18000000000000002,7.4074074074074066,5250,945.0000000000001,7000,7000
18000,0.4,0.27,0.2,7.4074074074074066,4860,972,7200,7199.999999999999
18000,0.4,0.3,0.18000000000000002,7.4074074074074066,5400,972.0000000000001,7200,7200
18500,0.4,0.27,0.2,7.4074074074074066,4995,999,7400,7399.999999999999
18500,0.4,0.3,0.18000000000000002,7.4074074074074066,5550,999.0000000000001,7400,7400
19000,0.4,0.27,0.2,7.4074074074074066,5130,1026,7600,7599.999999999999
19000,0.4,0.3,0.18000000000000002,7.4074074074074066,5700,1026.0000000000002,7600,7600.000000000001
19500,0.4,0.27,0.2,7.4074074074074066,5265,1053,7800,7799.999999999999
19500,0.4,0.3,0.18000000000000002,7.4074074074074066,5850,1053.0000000000002,7800,7800.000000000001
20000,0.4,0.27,0.2,7.4074074074074066,5400,1080,8000,7999.999999999999
20000,0.4,0.3,0.18000000000000002,7.4074074074074066,6000,1080.0000000000002,8000,8000.000000000001
1000,0.4,0.28,0.19,7.518796992481203,280,53.2,400,400
1500,0.4,0.28,0.19,7.518796992481203,420.00000000000006,79.80000000000001,600,600.0000000000001
2000,0.4,0.28,0.19,7.518796992481203,560,106.4,800,800
2500,0.4,0.28,0.19,7.518796992481203,700.0000000000001,133.00000000000003,1000,1000.0000000000002
3000,0.4,0.28,0.19,7.518796992481203,840.0000000000001,159.60000000000002,1200,1200.0000000000002
3500,0.4,0.28,0.19,7.518796992481203,980.0000000000001,186.20000000000002,1400,1400.0000000000002
4000,0.4,0.28,0.19,7.518796992481203,1120,212.8,1600,1600
4500,0.4,0.28,0.19,7.518796992481203,1260.0000000000002,239.40000000000003,1800,1800.0000000000002
5000,0.4,0.28,0.19,7.518796992481203,1400.0000000000002,266.00000000000006,2000,2000.0000000000005
5500,0.4,0.28,0.19,7.518796992481203,1540.0000000000002,292.6,2200,2200
6000,0.4,0.28,0.19,7.518796992481203,1680.0000000000002,319.20000000000005,2400,2400.0000000000005
6500,0.4,0.28,0.19,7.518796992481203,1820.0000000000002,345.80000000000007,2600,2600.0000000000005
7000,0.4,0.28,0.19,7.518796992481203,1960.0000000000002,372.40000000000003,2800,2800.0000000000005
7500,0.4,0.28,0.19,7.518796992481203,2100,399,3000,3000
8000,0.4,0.28,0.19,7.518796992481203,2240,425.6,3200,3200
8500,0.4,0.28,0.19,7.518796992481203,2380,452.2,3400,3400
9000,0.4,0.28,0.19,7.518796992481203,2520.0000000000005,478.80000000000007,3600,3600.0000000000005
9500,0.4,0.28,0.19,7.518796992481203,2660.0000000000005,505.4000000000001,3800,3800.000000000001
10000,0.4,0.28,0.19,7.518796992481203,2800.0000000000005,532.0000000000001,4000,4000.000000000001
10500,0.4,0.28,0.19,7.518796992481203,2940.0000000000005,558.6000000000001,4200,4200.000000000001
11000,0.4,0.28,0.19,7.518796992481203,3080.0000000000005,585.2,4400,4400
11500,0.4,0.28,0.19,7.518796992481203,3220.0000000000005,611.8000000000001,4600,4600.000000000001
12000,0.4,0.28,0.19,7.518796992481203,3360.0000000000005,638.4000000000001,4800,4800.000000000001
12500,0.4,0.28,0.19,7.518796992481203,3500.0000000000005,665.0000000000001,5000,5000.000000000001
13000,0.4,0.28,0.19,7.518796992481203,3640.0000000000005,691.6000000000001,5200,5200.000000000001
13500,0.4,0.28,0.19,7.518796992481203,3780.0000000000005,718.2,5400,5400
14000,0.4,0.28,0.19,7.518796992481203,3920.0000000000005,744.8000000000001,5600,5600.000000000001
14500,0.4,0.28,0.19,7.518796992481203,4060.0000000000005,771.4000000000001,5800,5800.000000000001
15000,0.4,0.28,0.19,7.518796992481203,4200,798,6000,6000
15500,0.4,0.28,0.19,7.518796992481203,4340,824.6,6200,6200
16000,0.4,0.28,0.19,7.518796992481203,4480,851.2,6400,6400
16500,0.4,0.28,0.19,7.518796992481203,4620,877.8,6600,6600
17000,0.4,0.28,0.19,7.518796992481203,4760,904.4,6800,6800
